date,line,shift,product,planned_minutes,downtime_minutes,operating_minutes,ideal_cycle_time_sec,total_units,good_units,scrap_units
2026-07-05,Line-B,Shift-1,Bracket,480,29,451,38,686,681,5
2026-07-05,Line-B,Shift-2,Connector,480,27,453,48,487,453,34
2026-07-05,Line-B,Shift-3,Connector,480,37,443,48,476,466,10
2026-07-05,Line-C,Shift-1,Sensor Mount,480,59,421,55,399,391,8
2026-07-05,Line-C,Shift-2,Connector,480,59,421,48,444,432,12
2026-07-05,Line-C,Shift-3,Housing,480,33,447,42,490,481,9
2026-07-06,Line-A,Shift-1,Bracket,480,40,440,38,610,596,14
2026-07-06,Line-A,Shift-2,Sensor Mount,480,41,439,55,414,408,6
2026-07-06,Line-A,Shift-3,Connector,480,27,453,48,509,494,15
2026-07-06,Line-B,Shift-1,Sensor Mount,480,31,449,55,438,427,11
2026-07-06,Line-B,Shift-2,Sensor Mount,480,24,456,55,453,438,15
2026-07-06,Line-B,Shift-3,Housing,480,44,436,42,573,568,5
2026-07-06,Line-C,Shift-1,Connector,480,81,399,48,456,440,16
2026-07-06,Line-C,Shift-2,Housing,480,61,419,42,538,534,4
2026-07-06,Line-C,Shift-3,Bracket,480,61,419,38,620,606,14
2026-07-07,Line-A,Shift-1,Sensor Mount,480,50,430,55,389,379,10
2026-07-07,Line-A,Shift-2,Connector,480,45,435,48,467,456,11
2026-07-07,Line-A,Shift-3,Housing,480,33,447,42,560,551,9
2026-07-07,Line-B,Shift-1,Connector,480,13,467,48,491,475,16
2026-07-07,Line-B,Shift-2,Connector,480,17,463,48,509,485,24
2026-07-07,Line-B,Shift-3,Bracket,480,40,440,38,609,596,13
2026-07-07,Line-C,Shift-1,Housing,480,61,419,42,570,563,7
2026-07-07,Line-C,Shift-2,Bracket,480,49,431,38,639,625,14
2026-07-07,Line-C,Shift-3,Sensor Mount,480,50,430,55,417,408,9
2026-07-08,Line-A,Shift-1,Connector,480,51,429,48,490,477,13
2026-07-08,Line-A,Shift-2,Housing,480,31,449,42,615,606,9
2026-07-08,Line-A,Shift-3,Bracket,480,17,463,38,649,635,14
2026-07-08,Line-B,Shift-1,Housing,480,51,429,42,588,577,11
2026-07-08,Line-B,Shift-2,Sensor Mount,480,46,434,55,403,384,19
2026-07-08,Line-B,Shift-3,Sensor Mount,480,37,443,55,408,405,3
2026-07-08,Line-C,Shift-1,Bracket,480,48,432,38,559,550,9
2026-07-08,Line-C,Shift-2,Sensor Mount,480,74,406,55,390,383,7
2026-07-08,Line-C,Shift-3,Connector,480,36,444,48,504,486,18
2026-07-09,Line-A,Shift-1,Housing,480,16,464,42,610,594,16
2026-07-09,Line-A,Shift-2,Bracket,480,25,455,38,668,662,6
2026-07-09,Line-A,Shift-3,Sensor Mount,480,40,440,55,400,395,5
2026-07-09,Line-B,Shift-1,Bracket,480,49,431,38,631,619,12
2026-07-09,Line-B,Shift-2,Connector,480,53,427,48,491,461,30
2026-07-09,Line-B,Shift-3,Connector,480,28,452,48,503,486,17
2026-07-09,Line-C,Shift-1,Sensor Mount,480,52,428,55,391,381,10
2026-07-09,Line-C,Shift-2,Connector,480,50,430,48,508,491,17
2026-07-09,Line-C,Shift-3,Housing,480,44,436,42,541,529,12
2026-07-10,Line-A,Shift-1,Bracket,480,31,449,38,644,633,11
2026-07-10,Line-A,Shift-2,Sensor Mount,480,58,422,55,353,350,3
2026-07-10,Line-A,Shift-3,Connector,480,27,453,48,488,474,14
2026-07-10,Line-B,Shift-1,Sensor Mount,480,16,464,55,444,433,11
2026-07-10,Line-B,Shift-2,Sensor Mount,480,26,454,55,441,426,15
2026-07-10,Line-B,Shift-3,Housing,480,43,437,42,576,569,7
2026-07-10,Line-C,Shift-1,Connector,480,53,427,48,492,477,15
2026-07-10,Line-C,Shift-2,Housing,480,43,437,42,585,577,8
2026-07-10,Line-C,Shift-3,Bracket,480,54,426,38,573,560,13
2026-07-11,Line-A,Shift-1,Sensor Mount,480,50,430,55,383,378,5
2026-07-11,Line-A,Shift-2,Connector,480,45,435,48,516,497,19
2026-07-11,Line-A,Shift-3,Housing,480,56,424,42,590,576,14
2026-07-11,Line-B,Shift-1,Connector,480,20,460,48,554,542,12
2026-07-11,Line-B,Shift-2,Connector,480,25,455,48,495,467,28
2026-07-11,Line-B,Shift-3,Bracket,480,36,444,38,659,649,10
2026-07-11,Line-C,Shift-1,Housing,480,61,419,42,526,518,8
2026-07-11,Line-C,Shift-2,Bracket,480,55,425,38,624,609,15
2026-07-11,Line-C,Shift-3,Sensor Mount,480,53,427,55,396,389,7
2026-07-12,Line-A,Shift-1,Connector,480,40,440,48,549,538,11
2026-07-12,Line-A,Shift-2,Housing,480,12,468,42,594,588,6
2026-07-12,Line-A,Shift-3,Bracket,480,37,443,38,596,588,8
2026-07-12,Line-B,Shift-1,Housing,480,23,457,42,602,591,11
2026-07-12,Line-B,Shift-2,Sensor Mount,480,60,420,55,391,378,13
2026-07-12,Line-B,Shift-3,Sensor Mount,480,32,448,55,384,377,7
2026-07-12,Line-C,Shift-1,Bracket,480,44,436,38,655,645,10
2026-07-12,Line-C,Shift-2,Sensor Mount,480,71,409,55,372,366,6
2026-07-12,Line-C,Shift-3,Connector,480,70,410,48,474,458,16
2026-07-13,Line-A,Shift-1,Housing,480,47,433,42,560,554,6
2026-07-13,Line-A,Shift-2,Bracket,480,54,426,38,520,508,12
2026-07-13,Line-A,Shift-3,Sensor Mount,480,45,435,55,367,363,4
2026-07-13,Line-B,Shift-1,Bracket,480,55,425,38,506,495,11
2026-07-13,Line-B,Shift-2,Connector,480,62,418,48,447,422,25
2026-07-13,Line-B,Shift-3,Connector,480,47,433,48,468,447,21
2026-07-13,Line-C,Shift-1,Sensor Mount,480,95,385,55,388,379,9
2026-07-13,Line-C,Shift-2,Connector,480,70,410,48,422,407,15
2026-07-13,Line-C,Shift-3,Housing,480,86,394,42,452,444,8
2026-07-14,Line-A,Shift-1,Bracket,480,29,451,38,628,618,10
2026-07-14,Line-A,Shift-2,Sensor Mount,480,24,456,55,387,383,4
2026-07-14,Line-A,Shift-3,Connector,480,40,440,48,499,482,17
2026-07-14,Line-B,Shift-1,Sensor Mount,480,69,411,55,376,368,8
2026-07-14,Line-B,Shift-2,Sensor Mount,480,79,401,55,371,350,21
2026-07-14,Line-B,Shift-3,Housing,480,66,414,42,455,440,15
2026-07-14,Line-C,Shift-1,Connector,480,77,403,48,426,411,15
2026-07-14,Line-C,Shift-2,Housing,480,83,397,42,479,470,9
2026-07-14,Line-C,Shift-3,Bracket,480,70,410,38,576,563,13
2026-07-15,Line-A,Shift-1,Sensor Mount,480,23,457,55,459,453,6
2026-07-15,Line-A,Shift-2,Connector,480,29,451,48,503,485,18
2026-07-15,Line-A,Shift-3,Housing,480,18,462,42,529,517,12
2026-07-15,Line-B,Shift-1,Connector,480,49,431,48,442,423,19
2026-07-15,Line-B,Shift-2,Connector,480,53,427,48,438,418,20
2026-07-15,Line-B,Shift-3,Bracket,480,71,409,38,559,542,17
2026-07-15,Line-C,Shift-1,Housing,480,99,381,42,462,451,11
2026-07-15,Line-C,Shift-2,Bracket,480,73,407,38,570,561,9
2026-07-15,Line-C,Shift-3,Sensor Mount,480,58,422,55,377,373,4
2026-07-16,Line-A,Shift-1,Connector,480,44,436,48,474,465,9
2026-07-16,Line-A,Shift-2,Housing,480,12,468,42,568,562,6
2026-07-16,Line-A,Shift-3,Bracket,480,43,437,38,568,560,8
2026-07-16,Line-B,Shift-1,Housing,480,53,427,42,582,566,16
2026-07-16,Line-B,Shift-2,Sensor Mount,480,37,443,55,371,354,17
2026-07-16,Line-B,Shift-3,Sensor Mount,480,54,426,55,373,360,13
2026-07-16,Line-C,Shift-1,Bracket,480,80,400,38,524,519,5
2026-07-16,Line-C,Shift-2,Sensor Mount,480,59,421,55,401,394,7
2026-07-16,Line-C,Shift-3,Connector,480,73,407,48,405,395,10
2026-07-17,Line-A,Shift-1,Housing,480,8,472,42,609,599,10
2026-07-17,Line-A,Shift-2,Bracket,480,8,472,38,633,618,15
2026-07-17,Line-A,Shift-3,Sensor Mount,480,57,423,55,363,359,4
2026-07-17,Line-B,Shift-1,Bracket,480,60,420,38,572,555,17
2026-07-17,Line-B,Shift-2,Connector,480,73,407,48,475,444,31
2026-07-17,Line-B,Shift-3,Connector,480,65,415,48,433,413,20
2026-07-17,Line-C,Shift-1,Sensor Mount,480,84,396,55,381,374,7
2026-07-17,Line-C,Shift-2,Connector,480,59,421,48,506,496,10
2026-07-17,Line-C,Shift-3,Housing,480,65,415,42,479,470,9
2026-07-18,Line-A,Shift-1,Bracket,480,32,448,38,626,616,10
2026-07-18,Line-A,Shift-2,Sensor Mount,480,24,456,55,417,410,7
2026-07-18,Line-A,Shift-3,Connector,480,35,445,48,542,532,10
2026-07-18,Line-B,Shift-1,Sensor Mount,480,45,435,55,416,409,7
2026-07-18,Line-B,Shift-2,Sensor Mount,480,31,449,55,447,424,23
2026-07-18,Line-B,Shift-3,Housing,480,39,441,42,560,550,10
2026-07-18,Line-C,Shift-1,Connector,480,62,418,48,464,447,17
2026-07-18,Line-C,Shift-2,Housing,480,60,420,42,564,555,9
2026-07-18,Line-C,Shift-3,Bracket,480,74,406,38,564,557,7
2026-07-19,Line-A,Shift-1,Sensor Mount,480,18,462,55,374,367,7
2026-07-19,Line-A,Shift-2,Connector,480,35,445,48,514,500,14
2026-07-19,Line-A,Shift-3,Housing,480,22,458,42,589,580,9
2026-07-19,Line-B,Shift-1,Connector,480,38,442,48,523,507,16
2026-07-19,Line-B,Shift-2,Connector,480,2,478,48,549,523,26
2026-07-19,Line-B,Shift-3,Bracket,480,6,474,38,632,618,14
2026-07-19,Line-C,Shift-1,Housing,480,57,423,42,573,566,7
2026-07-19,Line-C,Shift-2,Bracket,480,52,428,38,591,586,5
2026-07-19,Line-C,Shift-3,Sensor Mount,480,45,435,55,414,406,8
2026-07-20,Line-A,Shift-1,Connector,480,22,458,48,485,475,10
2026-07-20,Line-A,Shift-2,Housing,480,40,440,42,559,545,14
2026-07-20,Line-A,Shift-3,Bracket,480,8,472,38,648,642,6
2026-07-20,Line-B,Shift-1,Housing,480,15,465,42,583,577,6
2026-07-20,Line-B,Shift-2,Sensor Mount,480,4,476,55,451,438,13
2026-07-20,Line-B,Shift-3,Sensor Mount,480,41,439,55,400,395,5
2026-07-20,Line-C,Shift-1,Bracket,480,50,430,38,621,604,17
2026-07-20,Line-C,Shift-2,Sensor Mount,480,45,435,55,379,370,9
2026-07-20,Line-C,Shift-3,Connector,480,45,435,48,506,497,9
2026-07-21,Line-A,Shift-1,Housing,480,16,464,42,586,578,8
2026-07-21,Line-A,Shift-2,Bracket,480,31,449,38,639,630,9
2026-07-21,Line-A,Shift-3,Sensor Mount,480,49,431,55,388,383,5
2026-07-21,Line-B,Shift-1,Bracket,480,21,459,38,693,679,14
2026-07-21,Line-B,Shift-2,Connector,480,36,444,48,435,411,24
2026-07-21,Line-B,Shift-3,Connector,480,35,445,48,501,487,14
2026-07-21,Line-C,Shift-1,Sensor Mount,480,70,410,55,421,418,3
2026-07-21,Line-C,Shift-2,Connector,480,54,426,48,504,493,11
2026-07-21,Line-C,Shift-3,Housing,480,47,433,42,573,567,6
2026-07-22,Line-A,Shift-1,Bracket,480,51,429,38,608,602,6
2026-07-22,Line-A,Shift-2,Sensor Mount,480,33,447,55,402,397,5
2026-07-22,Line-A,Shift-3,Connector,480,32,448,48,463,449,14
2026-07-22,Line-B,Shift-1,Sensor Mount,480,52,428,55,381,373,8
2026-07-22,Line-B,Shift-2,Sensor Mount,480,45,435,55,389,369,20
2026-07-22,Line-B,Shift-3,Housing,480,50,430,42,528,520,8
2026-07-22,Line-C,Shift-1,Connector,480,35,445,48,487,474,13
2026-07-22,Line-C,Shift-2,Housing,480,28,452,42,578,573,5
2026-07-22,Line-C,Shift-3,Bracket,480,52,428,38,593,583,10
2026-07-23,Line-A,Shift-1,Sensor Mount,480,11,469,55,444,443,1
2026-07-23,Line-A,Shift-2,Connector,480,38,442,48,501,492,9
2026-07-23,Line-A,Shift-3,Housing,480,14,466,42,551,545,6
2026-07-23,Line-B,Shift-1,Connector,480,6,474,48,559,549,10
2026-07-23,Line-B,Shift-2,Connector,480,38,442,48,497,477,20
2026-07-23,Line-B,Shift-3,Bracket,480,26,454,38,712,708,4
2026-07-23,Line-C,Shift-1,Housing,480,54,426,42,543,541,2
2026-07-23,Line-C,Shift-2,Bracket,480,27,453,38,626,619,7
2026-07-23,Line-C,Shift-3,Sensor Mount,480,38,442,55,382,376,6
2026-07-24,Line-A,Shift-1,Connector,480,4,476,48,571,566,5
2026-07-24,Line-A,Shift-2,Housing,480,20,460,42,622,612,10
2026-07-24,Line-A,Shift-3,Bracket,480,24,456,38,673,670,3
2026-07-24,Line-B,Shift-1,Housing,480,17,463,42,607,605,2
2026-07-24,Line-B,Shift-2,Sensor Mount,480,9,471,55,429,417,12
2026-07-24,Line-B,Shift-3,Sensor Mount,480,37,443,55,431,426,5
2026-07-24,Line-C,Shift-1,Bracket,480,57,423,38,613,604,9
2026-07-24,Line-C,Shift-2,Sensor Mount,480,29,451,55,435,432,3
2026-07-24,Line-C,Shift-3,Connector,480,45,435,48,458,448,10
2026-07-25,Line-A,Shift-1,Housing,480,27,453,42,566,560,6
2026-07-25,Line-A,Shift-2,Bracket,480,0,480,38,751,748,3
2026-07-25,Line-A,Shift-3,Sensor Mount,480,28,452,55,395,391,4
2026-07-25,Line-B,Shift-1,Bracket,480,44,436,38,621,615,6
2026-07-25,Line-B,Shift-2,Connector,480,22,458,48,481,462,19
2026-07-25,Line-B,Shift-3,Connector,480,22,458,48,571,559,12
2026-07-25,Line-C,Shift-1,Sensor Mount,480,51,429,55,426,425,1
2026-07-25,Line-C,Shift-2,Connector,480,30,450,48,513,504,9
2026-07-25,Line-C,Shift-3,Housing,480,52,428,42,523,515,8
2026-07-26,Line-A,Shift-1,Bracket,480,21,459,38,642,640,2
2026-07-26,Line-A,Shift-2,Sensor Mount,480,19,461,55,479,474,5
2026-07-26,Line-A,Shift-3,Connector,480,0,480,48,522,515,7
2026-07-26,Line-B,Shift-1,Sensor Mount,480,22,458,55,483,482,1
2026-07-26,Line-B,Shift-2,Sensor Mount,480,15,465,55,404,390,14
2026-07-26,Line-B,Shift-3,Housing,480,42,438,42,636,632,4
2026-07-26,Line-C,Shift-1,Connector,480,52,428,48,487,481,6
2026-07-26,Line-C,Shift-2,Housing,480,25,455,42,635,627,8
2026-07-26,Line-C,Shift-3,Bracket,480,46,434,38,593,583,10
2026-07-27,Line-A,Shift-1,Sensor Mount,480,7,473,55,422,421,1
2026-07-27,Line-A,Shift-2,Connector,480,53,427,48,496,484,12
2026-07-27,Line-A,Shift-3,Housing,480,16,464,42,617,607,10
2026-07-27,Line-B,Shift-1,Connector,480,26,454,48,540,528,12
2026-07-27,Line-B,Shift-2,Connector,480,15,465,48,545,523,22
2026-07-27,Line-B,Shift-3,Bracket,480,23,457,38,655,646,9
2026-07-27,Line-C,Shift-1,Housing,480,60,420,42,552,550,2
2026-07-27,Line-C,Shift-2,Bracket,480,26,454,38,638,636,2
2026-07-27,Line-C,Shift-3,Sensor Mount,480,21,459,55,425,421,4
2026-07-28,Line-A,Shift-1,Connector,480,21,459,48,528,515,13
2026-07-28,Line-A,Shift-2,Housing,480,23,457,42,607,605,2
2026-07-28,Line-A,Shift-3,Bracket,480,19,461,38,697,695,2
2026-07-28,Line-B,Shift-1,Housing,480,21,459,42,555,553,2
2026-07-28,Line-B,Shift-2,Sensor Mount,480,19,461,55,407,392,15
2026-07-28,Line-B,Shift-3,Sensor Mount,480,14,466,55,431,423,8
2026-07-28,Line-C,Shift-1,Bracket,480,59,421,38,558,549,9
2026-07-28,Line-C,Shift-2,Sensor Mount,480,54,426,55,413,405,8
2026-07-28,Line-C,Shift-3,Connector,480,25,455,48,537,530,7
2026-07-29,Line-A,Shift-1,Housing,480,57,423,42,556,554,2
2026-07-29,Line-A,Shift-2,Bracket,480,19,461,38,735,723,12
2026-07-29,Line-A,Shift-3,Sensor Mount,480,27,453,55,420,416,4
2026-07-29,Line-B,Shift-1,Bracket,480,37,443,38,612,610,2
2026-07-29,Line-B,Shift-2,Connector,480,49,431,48,533,503,30
2026-07-29,Line-B,Shift-3,Connector,480,41,439,48,532,525,7
2026-07-29,Line-C,Shift-1,Sensor Mount,480,45,435,55,421,412,9
2026-07-29,Line-C,Shift-2,Connector,480,32,448,48,530,525,5
2026-07-29,Line-C,Shift-3,Housing,480,55,425,42,586,574,12
2026-07-30,Line-A,Shift-1,Bracket,480,49,431,38,617,610,7
2026-07-30,Line-A,Shift-2,Sensor Mount,480,28,452,55,439,431,8
2026-07-30,Line-A,Shift-3,Connector,480,29,451,48,507,493,14
2026-07-30,Line-B,Shift-1,Sensor Mount,480,53,427,55,424,421,3
2026-07-30,Line-B,Shift-2,Sensor Mount,480,19,461,55,487,473,14
2026-07-30,Line-B,Shift-3,Housing,480,14,466,42,626,619,7
2026-07-30,Line-C,Shift-1,Connector,480,40,440,48,506,491,15
2026-07-30,Line-C,Shift-2,Housing,480,60,420,42,532,530,2
2026-07-30,Line-C,Shift-3,Bracket,480,54,426,38,549,547,2
