date,line,shift,product,reason,duration_minutes
2026-07-04,Line-A,Shift-2,Housing,Minor stop,46
2026-07-04,Line-A,Shift-3,Bracket,Changeover,42
2026-07-04,Line-B,Shift-1,Housing,Material shortage,7
2026-07-04,Line-B,Shift-1,Housing,Changeover,4
2026-07-04,Line-B,Shift-2,Sensor Mount,Material shortage,10
2026-07-04,Line-B,Shift-2,Sensor Mount,Quality hold,8
2026-07-04,Line-B,Shift-2,Sensor Mount,Changeover,6
2026-07-04,Line-B,Shift-2,Sensor Mount,Quality hold,13
2026-07-04,Line-B,Shift-3,Sensor Mount,Quality hold,45
2026-07-04,Line-C,Shift-1,Bracket,Changeover,29
2026-07-04,Line-C,Shift-1,Bracket,Maintenance,41
2026-07-04,Line-C,Shift-2,Sensor Mount,Maintenance,23
2026-07-04,Line-C,Shift-2,Sensor Mount,Maintenance,13
2026-07-04,Line-C,Shift-2,Sensor Mount,Minor stop,4
2026-07-04,Line-C,Shift-3,Connector,Maintenance,60
2026-07-05,Line-A,Shift-1,Housing,Changeover,17
2026-07-05,Line-A,Shift-1,Housing,Tooling adjustment,24
2026-07-05,Line-A,Shift-2,Bracket,Quality hold,12
2026-07-05,Line-A,Shift-2,Bracket,Changeover,11
2026-07-05,Line-A,Shift-3,Sensor Mount,Material shortage,9
2026-07-05,Line-A,Shift-3,Sensor Mount,Quality hold,2
2026-07-05,Line-A,Shift-3,Sensor Mount,Tooling adjustment,4
2026-07-05,Line-B,Shift-1,Bracket,Maintenance,7
2026-07-05,Line-B,Shift-1,Bracket,Maintenance,14
2026-07-05,Line-B,Shift-1,Bracket,Tooling adjustment,8
2026-07-05,Line-B,Shift-2,Connector,Quality hold,27
2026-07-05,Line-B,Shift-3,Connector,Quality hold,37
2026-07-05,Line-C,Shift-1,Sensor Mount,Maintenance,59
2026-07-05,Line-C,Shift-2,Connector,Maintenance,59
2026-07-05,Line-C,Shift-3,Housing,Maintenance,20
2026-07-05,Line-C,Shift-3,Housing,Quality hold,9
2026-07-05,Line-C,Shift-3,Housing,Material shortage,2
2026-07-05,Line-C,Shift-3,Housing,Tooling adjustment,2
2026-07-06,Line-A,Shift-1,Bracket,Changeover,16
2026-07-06,Line-A,Shift-1,Bracket,Tooling adjustment,9
2026-07-06,Line-A,Shift-1,Bracket,Minor stop,8
2026-07-06,Line-A,Shift-1,Bracket,Material shortage,7
2026-07-06,Line-A,Shift-2,Sensor Mount,Changeover,14
2026-07-06,Line-A,Shift-2,Sensor Mount,Quality hold,27
2026-07-06,Line-A,Shift-3,Connector,Maintenance,27
2026-07-06,Line-B,Shift-1,Sensor Mount,Material shortage,18
2026-07-06,Line-B,Shift-1,Sensor Mount,Quality hold,9
2026-07-06,Line-B,Shift-1,Sensor Mount,Material shortage,3
2026-07-06,Line-B,Shift-1,Sensor Mount,Minor stop,1
2026-07-06,Line-B,Shift-2,Sensor Mount,Maintenance,5
2026-07-06,Line-B,Shift-2,Sensor Mount,Maintenance,1
2026-07-06,Line-B,Shift-2,Sensor Mount,Quality hold,13
2026-07-06,Line-B,Shift-2,Sensor Mount,Changeover,5
2026-07-06,Line-B,Shift-3,Housing,Minor stop,21
2026-07-06,Line-B,Shift-3,Housing,Minor stop,7
2026-07-06,Line-B,Shift-3,Housing,Quality hold,8
2026-07-06,Line-B,Shift-3,Housing,Minor stop,8
2026-07-06,Line-C,Shift-1,Connector,Maintenance,81
2026-07-06,Line-C,Shift-2,Housing,Material shortage,16
2026-07-06,Line-C,Shift-2,Housing,Maintenance,45
2026-07-06,Line-C,Shift-3,Bracket,Maintenance,61
2026-07-07,Line-A,Shift-1,Sensor Mount,Maintenance,26
2026-07-07,Line-A,Shift-1,Sensor Mount,Tooling adjustment,7
2026-07-07,Line-A,Shift-1,Sensor Mount,Tooling adjustment,3
2026-07-07,Line-A,Shift-1,Sensor Mount,Material shortage,14
2026-07-07,Line-A,Shift-2,Connector,Minor stop,45
2026-07-07,Line-A,Shift-3,Housing,Tooling adjustment,4
2026-07-07,Line-A,Shift-3,Housing,Quality hold,14
2026-07-07,Line-A,Shift-3,Housing,Tooling adjustment,6
2026-07-07,Line-A,Shift-3,Housing,Material shortage,9
2026-07-07,Line-B,Shift-1,Connector,Changeover,6
2026-07-07,Line-B,Shift-1,Connector,Minor stop,2
2026-07-07,Line-B,Shift-1,Connector,Quality hold,5
2026-07-07,Line-B,Shift-2,Connector,Minor stop,4
2026-07-07,Line-B,Shift-2,Connector,Quality hold,6
2026-07-07,Line-B,Shift-2,Connector,Maintenance,3
2026-07-07,Line-B,Shift-2,Connector,Tooling adjustment,4
2026-07-07,Line-B,Shift-3,Bracket,Tooling adjustment,36
2026-07-07,Line-B,Shift-3,Bracket,Tooling adjustment,1
2026-07-07,Line-B,Shift-3,Bracket,Quality hold,2
2026-07-07,Line-B,Shift-3,Bracket,Quality hold,1
2026-07-07,Line-C,Shift-1,Housing,Maintenance,31
2026-07-07,Line-C,Shift-1,Housing,Minor stop,18
2026-07-07,Line-C,Shift-1,Housing,Quality hold,12
2026-07-07,Line-C,Shift-2,Bracket,Tooling adjustment,8
2026-07-07,Line-C,Shift-2,Bracket,Maintenance,35
2026-07-07,Line-C,Shift-2,Bracket,Material shortage,6
2026-07-07,Line-C,Shift-3,Sensor Mount,Minor stop,7
2026-07-07,Line-C,Shift-3,Sensor Mount,Material shortage,13
2026-07-07,Line-C,Shift-3,Sensor Mount,Maintenance,30
2026-07-08,Line-A,Shift-1,Connector,Tooling adjustment,45
2026-07-08,Line-A,Shift-1,Connector,Quality hold,2
2026-07-08,Line-A,Shift-1,Connector,Changeover,4
2026-07-08,Line-A,Shift-2,Housing,Minor stop,31
2026-07-08,Line-A,Shift-3,Bracket,Maintenance,5
2026-07-08,Line-A,Shift-3,Bracket,Minor stop,12
2026-07-08,Line-B,Shift-1,Housing,Maintenance,50
2026-07-08,Line-B,Shift-1,Housing,Quality hold,1
2026-07-08,Line-B,Shift-2,Sensor Mount,Quality hold,46
2026-07-08,Line-B,Shift-3,Sensor Mount,Material shortage,31
2026-07-08,Line-B,Shift-3,Sensor Mount,Minor stop,3
2026-07-08,Line-B,Shift-3,Sensor Mount,Tooling adjustment,1
2026-07-08,Line-B,Shift-3,Sensor Mount,Minor stop,2
2026-07-08,Line-C,Shift-1,Bracket,Maintenance,42
2026-07-08,Line-C,Shift-1,Bracket,Minor stop,6
2026-07-08,Line-C,Shift-2,Sensor Mount,Maintenance,57
2026-07-08,Line-C,Shift-2,Sensor Mount,Tooling adjustment,4
2026-07-08,Line-C,Shift-2,Sensor Mount,Minor stop,13
2026-07-08,Line-C,Shift-3,Connector,Material shortage,2
2026-07-08,Line-C,Shift-3,Connector,Tooling adjustment,6
2026-07-08,Line-C,Shift-3,Connector,Maintenance,28
2026-07-09,Line-A,Shift-1,Housing,Quality hold,10
2026-07-09,Line-A,Shift-1,Housing,Tooling adjustment,6
2026-07-09,Line-A,Shift-2,Bracket,Quality hold,11
2026-07-09,Line-A,Shift-2,Bracket,Tooling adjustment,14
2026-07-09,Line-A,Shift-3,Sensor Mount,Quality hold,40
2026-07-09,Line-B,Shift-1,Bracket,Material shortage,41
2026-07-09,Line-B,Shift-1,Bracket,Minor stop,4
2026-07-09,Line-B,Shift-1,Bracket,Maintenance,1
2026-07-09,Line-B,Shift-1,Bracket,Material shortage,3
2026-07-09,Line-B,Shift-2,Connector,Quality hold,53
2026-07-09,Line-B,Shift-3,Connector,Quality hold,17
2026-07-09,Line-B,Shift-3,Connector,Quality hold,5
2026-07-09,Line-B,Shift-3,Connector,Quality hold,6
2026-07-09,Line-C,Shift-1,Sensor Mount,Minor stop,5
2026-07-09,Line-C,Shift-1,Sensor Mount,Maintenance,47
2026-07-09,Line-C,Shift-2,Connector,Quality hold,10
2026-07-09,Line-C,Shift-2,Connector,Maintenance,29
2026-07-09,Line-C,Shift-2,Connector,Minor stop,9
2026-07-09,Line-C,Shift-2,Connector,Maintenance,2
2026-07-09,Line-C,Shift-3,Housing,Maintenance,44
2026-07-10,Line-A,Shift-1,Bracket,Quality hold,28
2026-07-10,Line-A,Shift-1,Bracket,Changeover,1
2026-07-10,Line-A,Shift-1,Bracket,Maintenance,2
2026-07-10,Line-A,Shift-2,Sensor Mount,Tooling adjustment,22
2026-07-10,Line-A,Shift-2,Sensor Mount,Changeover,26
2026-07-10,Line-A,Shift-2,Sensor Mount,Minor stop,10
2026-07-10,Line-A,Shift-3,Connector,Changeover,24
2026-07-10,Line-A,Shift-3,Connector,Quality hold,3
2026-07-10,Line-B,Shift-1,Sensor Mount,Minor stop,16
2026-07-10,Line-B,Shift-2,Sensor Mount,Material shortage,6
2026-07-10,Line-B,Shift-2,Sensor Mount,Quality hold,20
2026-07-10,Line-B,Shift-3,Housing,Minor stop,1
2026-07-10,Line-B,Shift-3,Housing,Tooling adjustment,30
2026-07-10,Line-B,Shift-3,Housing,Maintenance,12
2026-07-10,Line-C,Shift-1,Connector,Maintenance,45
2026-07-10,Line-C,Shift-1,Connector,Material shortage,3
2026-07-10,Line-C,Shift-1,Connector,Quality hold,4
2026-07-10,Line-C,Shift-1,Connector,Quality hold,1
2026-07-10,Line-C,Shift-2,Housing,Minor stop,2
2026-07-10,Line-C,Shift-2,Housing,Maintenance,26
2026-07-10,Line-C,Shift-2,Housing,Maintenance,15
2026-07-10,Line-C,Shift-3,Bracket,Maintenance,41
2026-07-10,Line-C,Shift-3,Bracket,Maintenance,13
2026-07-11,Line-A,Shift-1,Sensor Mount,Tooling adjustment,3
2026-07-11,Line-A,Shift-1,Sensor Mount,Material shortage,38
2026-07-11,Line-A,Shift-1,Sensor Mount,Changeover,6
2026-07-11,Line-A,Shift-1,Sensor Mount,Minor stop,3
2026-07-11,Line-A,Shift-2,Connector,Quality hold,11
2026-07-11,Line-A,Shift-2,Connector,Minor stop,17
2026-07-11,Line-A,Shift-2,Connector,Tooling adjustment,17
2026-07-11,Line-A,Shift-3,Housing,Quality hold,52
2026-07-11,Line-A,Shift-3,Housing,Changeover,2
2026-07-11,Line-A,Shift-3,Housing,Minor stop,1
2026-07-11,Line-A,Shift-3,Housing,Maintenance,1
2026-07-11,Line-B,Shift-1,Connector,Material shortage,4
2026-07-11,Line-B,Shift-1,Connector,Quality hold,11
2026-07-11,Line-B,Shift-1,Connector,Changeover,5
2026-07-11,Line-B,Shift-2,Connector,Quality hold,25
2026-07-11,Line-B,Shift-3,Bracket,Quality hold,27
2026-07-11,Line-B,Shift-3,Bracket,Tooling adjustment,3
2026-07-11,Line-B,Shift-3,Bracket,Changeover,6
2026-07-11,Line-C,Shift-1,Housing,Maintenance,55
2026-07-11,Line-C,Shift-1,Housing,Changeover,6
2026-07-11,Line-C,Shift-2,Bracket,Tooling adjustment,6
2026-07-11,Line-C,Shift-2,Bracket,Maintenance,43
2026-07-11,Line-C,Shift-2,Bracket,Maintenance,2
2026-07-11,Line-C,Shift-2,Bracket,Changeover,4
2026-07-11,Line-C,Shift-3,Sensor Mount,Maintenance,53
2026-07-12,Line-A,Shift-1,Connector,Minor stop,40
2026-07-12,Line-A,Shift-2,Housing,Material shortage,12
2026-07-12,Line-A,Shift-3,Bracket,Changeover,17
2026-07-12,Line-A,Shift-3,Bracket,Material shortage,20
2026-07-12,Line-B,Shift-1,Housing,Changeover,17
2026-07-12,Line-B,Shift-1,Housing,Tooling adjustment,2
2026-07-12,Line-B,Shift-1,Housing,Tooling adjustment,3
2026-07-12,Line-B,Shift-1,Housing,Maintenance,1
2026-07-12,Line-B,Shift-2,Sensor Mount,Maintenance,5
2026-07-12,Line-B,Shift-2,Sensor Mount,Material shortage,6
2026-07-12,Line-B,Shift-2,Sensor Mount,Changeover,21
2026-07-12,Line-B,Shift-2,Sensor Mount,Quality hold,28
2026-07-12,Line-B,Shift-3,Sensor Mount,Changeover,15
2026-07-12,Line-B,Shift-3,Sensor Mount,Tooling adjustment,14
2026-07-12,Line-B,Shift-3,Sensor Mount,Changeover,3
2026-07-12,Line-C,Shift-1,Bracket,Maintenance,44
2026-07-12,Line-C,Shift-2,Sensor Mount,Maintenance,71
2026-07-12,Line-C,Shift-3,Connector,Minor stop,16
2026-07-12,Line-C,Shift-3,Connector,Maintenance,27
2026-07-12,Line-C,Shift-3,Connector,Quality hold,27
2026-07-13,Line-A,Shift-1,Housing,Minor stop,15
2026-07-13,Line-A,Shift-1,Housing,Maintenance,28
2026-07-13,Line-A,Shift-1,Housing,Minor stop,1
2026-07-13,Line-A,Shift-1,Housing,Changeover,3
2026-07-13,Line-A,Shift-2,Bracket,Maintenance,54
2026-07-13,Line-A,Shift-3,Sensor Mount,Tooling adjustment,37
2026-07-13,Line-A,Shift-3,Sensor Mount,Quality hold,8
2026-07-13,Line-B,Shift-1,Bracket,Material shortage,27
2026-07-13,Line-B,Shift-1,Bracket,Minor stop,15
2026-07-13,Line-B,Shift-1,Bracket,Minor stop,6
2026-07-13,Line-B,Shift-1,Bracket,Tooling adjustment,7
2026-07-13,Line-B,Shift-2,Connector,Quality hold,32
2026-07-13,Line-B,Shift-2,Connector,Minor stop,20
2026-07-13,Line-B,Shift-2,Connector,Material shortage,8
2026-07-13,Line-B,Shift-2,Connector,Maintenance,2
2026-07-13,Line-B,Shift-3,Connector,Material shortage,47
2026-07-13,Line-C,Shift-1,Sensor Mount,Maintenance,38
2026-07-13,Line-C,Shift-1,Sensor Mount,Changeover,21
2026-07-13,Line-C,Shift-1,Sensor Mount,Quality hold,36
2026-07-13,Line-C,Shift-2,Connector,Maintenance,70
2026-07-13,Line-C,Shift-3,Housing,Maintenance,38
2026-07-13,Line-C,Shift-3,Housing,Minor stop,8
2026-07-13,Line-C,Shift-3,Housing,Material shortage,26
2026-07-13,Line-C,Shift-3,Housing,Maintenance,14
2026-07-14,Line-A,Shift-1,Bracket,Minor stop,17
2026-07-14,Line-A,Shift-1,Bracket,Tooling adjustment,2
2026-07-14,Line-A,Shift-1,Bracket,Minor stop,7
2026-07-14,Line-A,Shift-1,Bracket,Material shortage,3
2026-07-14,Line-A,Shift-2,Sensor Mount,Material shortage,12
2026-07-14,Line-A,Shift-2,Sensor Mount,Material shortage,11
2026-07-14,Line-A,Shift-2,Sensor Mount,Changeover,1
2026-07-14,Line-A,Shift-3,Connector,Quality hold,32
2026-07-14,Line-A,Shift-3,Connector,Maintenance,8
2026-07-14,Line-B,Shift-1,Sensor Mount,Minor stop,69
2026-07-14,Line-B,Shift-2,Sensor Mount,Quality hold,60
2026-07-14,Line-B,Shift-2,Sensor Mount,Tooling adjustment,2
2026-07-14,Line-B,Shift-2,Sensor Mount,Material shortage,15
2026-07-14,Line-B,Shift-2,Sensor Mount,Minor stop,2
2026-07-14,Line-B,Shift-3,Housing,Material shortage,6
2026-07-14,Line-B,Shift-3,Housing,Tooling adjustment,60
2026-07-14,Line-C,Shift-1,Connector,Changeover,7
2026-07-14,Line-C,Shift-1,Connector,Maintenance,43
2026-07-14,Line-C,Shift-1,Connector,Changeover,27
2026-07-14,Line-C,Shift-2,Housing,Maintenance,45
2026-07-14,Line-C,Shift-2,Housing,Tooling adjustment,38
2026-07-14,Line-C,Shift-3,Bracket,Maintenance,68
2026-07-14,Line-C,Shift-3,Bracket,Tooling adjustment,2
2026-07-15,Line-A,Shift-1,Sensor Mount,Material shortage,7
2026-07-15,Line-A,Shift-1,Sensor Mount,Changeover,4
2026-07-15,Line-A,Shift-1,Sensor Mount,Minor stop,3
2026-07-15,Line-A,Shift-1,Sensor Mount,Changeover,9
2026-07-15,Line-A,Shift-2,Connector,Quality hold,24
2026-07-15,Line-A,Shift-2,Connector,Changeover,5
2026-07-15,Line-A,Shift-3,Housing,Minor stop,8
2026-07-15,Line-A,Shift-3,Housing,Quality hold,10
2026-07-15,Line-B,Shift-1,Connector,Material shortage,11
2026-07-15,Line-B,Shift-1,Connector,Minor stop,13
2026-07-15,Line-B,Shift-1,Connector,Changeover,20
2026-07-15,Line-B,Shift-1,Connector,Tooling adjustment,5
2026-07-15,Line-B,Shift-2,Connector,Quality hold,28
2026-07-15,Line-B,Shift-2,Connector,Material shortage,25
2026-07-15,Line-B,Shift-3,Bracket,Minor stop,29
2026-07-15,Line-B,Shift-3,Bracket,Changeover,2
2026-07-15,Line-B,Shift-3,Bracket,Tooling adjustment,40
2026-07-15,Line-C,Shift-1,Housing,Maintenance,58
2026-07-15,Line-C,Shift-1,Housing,Minor stop,1
2026-07-15,Line-C,Shift-1,Housing,Material shortage,6
2026-07-15,Line-C,Shift-1,Housing,Material shortage,34
2026-07-15,Line-C,Shift-2,Bracket,Quality hold,9
2026-07-15,Line-C,Shift-2,Bracket,Maintenance,8
2026-07-15,Line-C,Shift-2,Bracket,Maintenance,54
2026-07-15,Line-C,Shift-2,Bracket,Changeover,2
2026-07-15,Line-C,Shift-3,Sensor Mount,Maintenance,12
2026-07-15,Line-C,Shift-3,Sensor Mount,Maintenance,43
2026-07-15,Line-C,Shift-3,Sensor Mount,Changeover,1
2026-07-15,Line-C,Shift-3,Sensor Mount,Maintenance,2
2026-07-16,Line-A,Shift-1,Connector,Tooling adjustment,16
2026-07-16,Line-A,Shift-1,Connector,Tooling adjustment,24
2026-07-16,Line-A,Shift-1,Connector,Changeover,4
2026-07-16,Line-A,Shift-2,Housing,Changeover,8
2026-07-16,Line-A,Shift-2,Housing,Tooling adjustment,1
2026-07-16,Line-A,Shift-2,Housing,Quality hold,1
2026-07-16,Line-A,Shift-2,Housing,Changeover,2
2026-07-16,Line-A,Shift-3,Bracket,Changeover,35
2026-07-16,Line-A,Shift-3,Bracket,Tooling adjustment,4
2026-07-16,Line-A,Shift-3,Bracket,Material shortage,2
2026-07-16,Line-A,Shift-3,Bracket,Minor stop,2
2026-07-16,Line-B,Shift-1,Housing,Quality hold,25
2026-07-16,Line-B,Shift-1,Housing,Tooling adjustment,11
2026-07-16,Line-B,Shift-1,Housing,Quality hold,6
2026-07-16,Line-B,Shift-1,Housing,Minor stop,11
2026-07-16,Line-B,Shift-2,Sensor Mount,Quality hold,20
2026-07-16,Line-B,Shift-2,Sensor Mount,Tooling adjustment,15
2026-07-16,Line-B,Shift-2,Sensor Mount,Quality hold,2
2026-07-16,Line-B,Shift-3,Sensor Mount,Tooling adjustment,18
2026-07-16,Line-B,Shift-3,Sensor Mount,Tooling adjustment,4
2026-07-16,Line-B,Shift-3,Sensor Mount,Quality hold,3
2026-07-16,Line-B,Shift-3,Sensor Mount,Minor stop,29
2026-07-16,Line-C,Shift-1,Bracket,Maintenance,47
2026-07-16,Line-C,Shift-1,Bracket,Quality hold,33
2026-07-16,Line-C,Shift-2,Sensor Mount,Maintenance,26
2026-07-16,Line-C,Shift-2,Sensor Mount,Minor stop,21
2026-07-16,Line-C,Shift-2,Sensor Mount,Material shortage,12
2026-07-16,Line-C,Shift-3,Connector,Maintenance,34
2026-07-16,Line-C,Shift-3,Connector,Maintenance,29
2026-07-16,Line-C,Shift-3,Connector,Minor stop,10
2026-07-17,Line-A,Shift-1,Housing,Tooling adjustment,8
2026-07-17,Line-A,Shift-2,Bracket,Minor stop,7
2026-07-17,Line-A,Shift-2,Bracket,Maintenance,1
2026-07-17,Line-A,Shift-3,Sensor Mount,Maintenance,2
2026-07-17,Line-A,Shift-3,Sensor Mount,Minor stop,24
2026-07-17,Line-A,Shift-3,Sensor Mount,Quality hold,18
2026-07-17,Line-A,Shift-3,Sensor Mount,Maintenance,13
2026-07-17,Line-B,Shift-1,Bracket,Maintenance,34
2026-07-17,Line-B,Shift-1,Bracket,Changeover,14
2026-07-17,Line-B,Shift-1,Bracket,Material shortage,7
2026-07-17,Line-B,Shift-1,Bracket,Minor stop,5
2026-07-17,Line-B,Shift-2,Connector,Quality hold,73
2026-07-17,Line-B,Shift-3,Connector,Minor stop,65
2026-07-17,Line-C,Shift-1,Sensor Mount,Maintenance,84
2026-07-17,Line-C,Shift-2,Connector,Maintenance,59
2026-07-17,Line-C,Shift-3,Housing,Maintenance,42
2026-07-17,Line-C,Shift-3,Housing,Material shortage,10
2026-07-17,Line-C,Shift-3,Housing,Tooling adjustment,13
2026-07-18,Line-A,Shift-1,Bracket,Material shortage,7
2026-07-18,Line-A,Shift-1,Bracket,Minor stop,11
2026-07-18,Line-A,Shift-1,Bracket,Tooling adjustment,10
2026-07-18,Line-A,Shift-1,Bracket,Minor stop,4
2026-07-18,Line-A,Shift-2,Sensor Mount,Material shortage,15
2026-07-18,Line-A,Shift-2,Sensor Mount,Changeover,4
2026-07-18,Line-A,Shift-2,Sensor Mount,Changeover,5
2026-07-18,Line-A,Shift-3,Connector,Quality hold,13
2026-07-18,Line-A,Shift-3,Connector,Maintenance,6
2026-07-18,Line-A,Shift-3,Connector,Quality hold,16
2026-07-18,Line-B,Shift-1,Sensor Mount,Maintenance,14
2026-07-18,Line-B,Shift-1,Sensor Mount,Minor stop,31
2026-07-18,Line-B,Shift-2,Sensor Mount,Quality hold,18
2026-07-18,Line-B,Shift-2,Sensor Mount,Quality hold,1
2026-07-18,Line-B,Shift-2,Sensor Mount,Material shortage,12
2026-07-18,Line-B,Shift-3,Housing,Changeover,36
2026-07-18,Line-B,Shift-3,Housing,Quality hold,2
2026-07-18,Line-B,Shift-3,Housing,Maintenance,1
2026-07-18,Line-C,Shift-1,Connector,Maintenance,36
2026-07-18,Line-C,Shift-1,Connector,Material shortage,12
2026-07-18,Line-C,Shift-1,Connector,Maintenance,14
2026-07-18,Line-C,Shift-2,Housing,Material shortage,10
2026-07-18,Line-C,Shift-2,Housing,Maintenance,39
2026-07-18,Line-C,Shift-2,Housing,Maintenance,9
2026-07-18,Line-C,Shift-2,Housing,Minor stop,2
2026-07-18,Line-C,Shift-3,Bracket,Maintenance,65
2026-07-18,Line-C,Shift-3,Bracket,Maintenance,8
2026-07-18,Line-C,Shift-3,Bracket,Minor stop,1
2026-07-19,Line-A,Shift-1,Sensor Mount,Maintenance,18
2026-07-19,Line-A,Shift-2,Connector,Changeover,10
2026-07-19,Line-A,Shift-2,Connector,Maintenance,22
2026-07-19,Line-A,Shift-2,Connector,Tooling adjustment,1
2026-07-19,Line-A,Shift-2,Connector,Changeover,2
2026-07-19,Line-A,Shift-3,Housing,Maintenance,14
2026-07-19,Line-A,Shift-3,Housing,Maintenance,8
2026-07-19,Line-B,Shift-1,Connector,Maintenance,12
2026-07-19,Line-B,Shift-1,Connector,Minor stop,15
2026-07-19,Line-B,Shift-1,Connector,Maintenance,11
2026-07-19,Line-B,Shift-2,Connector,Quality hold,1
2026-07-19,Line-B,Shift-2,Connector,Material shortage,1
2026-07-19,Line-B,Shift-3,Bracket,Quality hold,1
2026-07-19,Line-B,Shift-3,Bracket,Minor stop,4
2026-07-19,Line-B,Shift-3,Bracket,Material shortage,1
2026-07-19,Line-C,Shift-1,Housing,Maintenance,14
2026-07-19,Line-C,Shift-1,Housing,Minor stop,13
2026-07-19,Line-C,Shift-1,Housing,Maintenance,27
2026-07-19,Line-C,Shift-1,Housing,Tooling adjustment,3
2026-07-19,Line-C,Shift-2,Bracket,Maintenance,41
2026-07-19,Line-C,Shift-2,Bracket,Changeover,11
2026-07-19,Line-C,Shift-3,Sensor Mount,Maintenance,1
2026-07-19,Line-C,Shift-3,Sensor Mount,Maintenance,44
2026-07-20,Line-A,Shift-1,Connector,Changeover,22
2026-07-20,Line-A,Shift-2,Housing,Changeover,32
2026-07-20,Line-A,Shift-2,Housing,Changeover,2
2026-07-20,Line-A,Shift-2,Housing,Minor stop,3
